constituency_name,parliament_seat_name,total_2021_electors,turnout,winner_party,winner_alliance,winner_candidate,winner_votes,winner_vote_pct,runnerup_party,runnerup_alliance,runnerup_candidate,runnerup_votes,runnerup_vote_pct,margin_votes,margin_pct
Darjeeling,Darjeeling,246663,74.76%,Bharatiya Janata Party,National Democratic Alliance,Raju Bista,679331,51.18,Trinamool Congress,Indian National Developmental Inclusive Alliance,Gopal Lama,500806,37.73,|178525,|13.45
Kurseong,Darjeeling,236477,74.76%,Bharatiya Janata Party,National Democratic Alliance,Raju Bista,679331,51.18,Trinamool Congress,Indian National Developmental Inclusive Alliance,Gopal Lama,500806,37.73,|178525,|13.45
Matigara-Naxalbari,Darjeeling,287565,74.76%,Bharatiya Janata Party,National Democratic Alliance,Raju Bista,679331,51.18,Trinamool Congress,Indian National Developmental Inclusive Alliance,Gopal Lama,500806,37.73,|178525,|13.45
Siliguri,Darjeeling,228406,74.76%,Bharatiya Janata Party,National Democratic Alliance,Raju Bista,679331,51.18,Trinamool Congress,Indian National Developmental Inclusive Alliance,Gopal Lama,500806,37.73,|178525,|13.45
Phansidewa,Darjeeling,240946,74.76%,Bharatiya Janata Party,National Democratic Alliance,Raju Bista,679331,51.18,Trinamool Congress,Indian National Developmental Inclusive Alliance,Gopal Lama,500806,37.73,|178525,|13.45
Chopra,Darjeeling,247764,74.76%,Bharatiya Janata Party,National Democratic Alliance,Raju Bista,679331,51.18,Trinamool Congress,Indian National Developmental Inclusive Alliance,Gopal Lama,500806,37.73,|178525,|13.45
Islampur,Raiganj,219728,76.18%,Bharatiya Janata Party,National Democratic Alliance,Kartick Chandra Paul,560897,40.99,Trinamool Congress,Indian National Developmental Inclusive Alliance,Krishna Kalyani,492700,36.0,|68197,|4.99
Goalpokhar,Raiganj,224633,76.18%,Bharatiya Janata Party,National Democratic Alliance,Kartick Chandra Paul,560897,40.99,Trinamool Congress,Indian National Developmental Inclusive Alliance,Krishna Kalyani,492700,36.0,|68197,|4.99
Chakulia,Raiganj,233378,76.18%,Bharatiya Janata Party,National Democratic Alliance,Kartick Chandra Paul,560897,40.99,Trinamool Congress,Indian National Developmental Inclusive Alliance,Krishna Kalyani,492700,36.0,|68197,|4.99
Karandighi,Raiganj,262583,76.18%,Bharatiya Janata Party,National Democratic Alliance,Kartick Chandra Paul,560897,40.99,Trinamool Congress,Indian National Developmental Inclusive Alliance,Krishna Kalyani,492700,36.0,|68197,|4.99
Hemtabad,Raiganj,265318,76.18%,Bharatiya Janata Party,National Democratic Alliance,Kartick Chandra Paul,560897,40.99,Trinamool Congress,Indian National Developmental Inclusive Alliance,Krishna Kalyani,492700,36.0,|68197,|4.99
Kaliaganj,Raiganj,282575,76.18%,Bharatiya Janata Party,National Democratic Alliance,Kartick Chandra Paul,560897,40.99,Trinamool Congress,Indian National Developmental Inclusive Alliance,Krishna Kalyani,492700,36.0,|68197,|4.99
Raiganj,Raiganj,198780,76.18%,Bharatiya Janata Party,National Democratic Alliance,Kartick Chandra Paul,560897,40.99,Trinamool Congress,Indian National Developmental Inclusive Alliance,Krishna Kalyani,492700,36.0,|68197,|4.99
Itahar,Balurghat,229362,79.09%,Bharatiya Janata Party,National Democratic Alliance,Sukanta Majumder,574996,46.47,Trinamool Congress,Indian National Developmental Inclusive Alliance,Biplab Mitra,564610,45.63,|10386,|0.84
Kushmandi,Balurghat,219921,79.09%,Bharatiya Janata Party,National Democratic Alliance,Sukanta Majumder,574996,46.47,Trinamool Congress,Indian National Developmental Inclusive Alliance,Biplab Mitra,564610,45.63,|10386,|0.84
Kumarganj,Balurghat,203896,79.09%,Bharatiya Janata Party,National Democratic Alliance,Sukanta Majumder,574996,46.47,Trinamool Congress,Indian National Developmental Inclusive Alliance,Biplab Mitra,564610,45.63,|10386,|0.84
Balurghat,Balurghat,180390,79.09%,Bharatiya Janata Party,National Democratic Alliance,Sukanta Majumder,574996,46.47,Trinamool Congress,Indian National Developmental Inclusive Alliance,Biplab Mitra,564610,45.63,|10386,|0.84
Tapan,Balurghat,220236,79.09%,Bharatiya Janata Party,National Democratic Alliance,Sukanta Majumder,574996,46.47,Trinamool Congress,Indian National Developmental Inclusive Alliance,Biplab Mitra,564610,45.63,|10386,|0.84
Gangarampur,Balurghat,224040,79.09%,Bharatiya Janata Party,National Democratic Alliance,Sukanta Majumder,574996,46.47,Trinamool Congress,Indian National Developmental Inclusive Alliance,Biplab Mitra,564610,45.63,|10386,|0.84
Harirampur,Balurghat,228189,79.09%,Bharatiya Janata Party,National Democratic Alliance,Sukanta Majumder,574996,46.47,Trinamool Congress,Indian National Developmental Inclusive Alliance,Biplab Mitra,564610,45.63,|10386,|0.84
Habibpur,Maldaha Uttar,249957,76.03%,Bharatiya Janata Party,National Democratic Alliance,Khagen Murmu,527023,37.18,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prasun Banerjee,449315,31.7,|77708,|5.48
Gazole,Maldaha Uttar,267096,76.03%,Bharatiya Janata Party,National Democratic Alliance,Khagen Murmu,527023,37.18,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prasun Banerjee,449315,31.7,|77708,|5.48
Chanchal,Maldaha Uttar,249402,76.03%,Bharatiya Janata Party,National Democratic Alliance,Khagen Murmu,527023,37.18,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prasun Banerjee,449315,31.7,|77708,|5.48
