constituency_name,parliament_seat_name,total_2021_electors,turnout,winner_party,winner_alliance,winner_candidate,winner_votes,winner_vote_pct,runnerup_party,runnerup_alliance,runnerup_candidate,runnerup_votes,runnerup_vote_pct,margin_votes,margin_pct
Bidhannagar,Barasat,243360,80.17%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kakoli Ghosh Dastidar,692010,45.15,Bharatiya Janata Party,National Democratic Alliance,Swapan Majumder,577821,37.7,|114189,|7.45
Rajarhat Gopalpur,Dum Dum,257447,73.81%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Saugata Roy,528579,41.95,Bharatiya Janata Party,National Democratic Alliance,Shilbhadra Dutta,457919,36.34,|70660,|5.61
Madhyamgram,Barasat,272397,80.17%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kakoli Ghosh Dastidar,692010,45.15,Bharatiya Janata Party,National Democratic Alliance,Swapan Majumder,577821,37.7,|114189,|7.45
Barasat,Barasat,279592,80.17%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kakoli Ghosh Dastidar,692010,45.15,Bharatiya Janata Party,National Democratic Alliance,Swapan Majumder,577821,37.7,|114189,|7.45
Deganga,Barasat,242652,80.17%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kakoli Ghosh Dastidar,692010,45.15,Bharatiya Janata Party,National Democratic Alliance,Swapan Majumder,577821,37.7,|114189,|7.45
Haroa,Basirhat,259206,84.31%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Haji Nurul Islam,803762,52.76,Bharatiya Janata Party,National Democratic Alliance,Rekha Patra,470215,30.87,|333547,|21.89
Minakhan,Basirhat,236528,84.31%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Haji Nurul Islam,803762,52.76,Bharatiya Janata Party,National Democratic Alliance,Rekha Patra,470215,30.87,|333547,|21.89
Sandeshkhali,Basirhat,238633,84.31%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Haji Nurul Islam,803762,52.76,Bharatiya Janata Party,National Democratic Alliance,Rekha Patra,470215,30.87,|333547,|21.89
Basirhat Dakshin,Basirhat,275934,84.31%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Haji Nurul Islam,803762,52.76,Bharatiya Janata Party,National Democratic Alliance,Rekha Patra,470215,30.87,|333547,|21.89
Basirhat Uttar,Basirhat,268034,84.31%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Haji Nurul Islam,803762,52.76,Bharatiya Janata Party,National Democratic Alliance,Rekha Patra,470215,30.87,|333547,|21.89
Hingalganj,Basirhat,228508,84.31%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Haji Nurul Islam,803762,52.76,Bharatiya Janata Party,National Democratic Alliance,Rekha Patra,470215,30.87,|333547,|21.89
Gosaba,Joynagar,230348,80.08%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Pratima Mondal,894312,60.32,Bharatiya Janata Party,National Democratic Alliance,Ashok Kandari,424093,28.6,|470219,|31.72
Basanti,Joynagar,260681,80.08%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Pratima Mondal,894312,60.32,Bharatiya Janata Party,National Democratic Alliance,Ashok Kandari,424093,28.6,|470219,|31.72
Kultali,Joynagar,265561,80.08%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Pratima Mondal,894312,60.32,Bharatiya Janata Party,National Democratic Alliance,Ashok Kandari,424093,28.6,|470219,|31.72
Patharpratima,Mathurapur,263675,82.02%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Bapi Halder,755731,50.52,Bharatiya Janata Party,National Democratic Alliance,Ashok Purkait,554674,37.08,|201057,|13.44
Kakdwip,Mathurapur,247826,82.02%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Bapi Halder,755731,50.52,Bharatiya Janata Party,National Democratic Alliance,Ashok Purkait,554674,37.08,|201057,|13.44
Sagar,Mathurapur,274715,82.02%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Bapi Halder,755731,50.52,Bharatiya Janata Party,National Democratic Alliance,Ashok Purkait,554674,37.08,|201057,|13.44
Kulpi,Mathurapur,220144,82.02%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Bapi Halder,755731,50.52,Bharatiya Janata Party,National Democratic Alliance,Ashok Purkait,554674,37.08,|201057,|13.44
Raidighi,Mathurapur,273558,82.02%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Bapi Halder,755731,50.52,Bharatiya Janata Party,National Democratic Alliance,Ashok Purkait,554674,37.08,|201057,|13.44
Mandirbazar,Mathurapur,229129,82.02%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Bapi Halder,755731,50.52,Bharatiya Janata Party,National Democratic Alliance,Ashok Purkait,554674,37.08,|201057,|13.44
Jaynagar,Joynagar,239968,80.08%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Pratima Mondal,894312,60.32,Bharatiya Janata Party,National Democratic Alliance,Ashok Kandari,424093,28.6,|470219,|31.72
Baruipur Purba,Jadavpur,265091,76.68%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Saayoni Ghosh,717899,45.83,Bharatiya Janata Party,National Democratic Alliance,Anirban Ganguly,459698,29.35,|258201,|16.48
Canning Paschim,Joynagar,257681,80.08%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Pratima Mondal,894312,60.32,Bharatiya Janata Party,National Democratic Alliance,Ashok Kandari,424093,28.6,|470219,|31.72
Canning Purba,Joynagar,262439,80.08%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Pratima Mondal,894312,60.32,Bharatiya Janata Party,National Democratic Alliance,Ashok Kandari,424093,28.6,|470219,|31.72
Baruipur Paschim,Jadavpur,253749,76.68%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Saayoni Ghosh,717899,45.83,Bharatiya Janata Party,National Democratic Alliance,Anirban Ganguly,459698,29.35,|258201,|16.48
Magrahat Purba,Joynagar,242530,80.08%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Pratima Mondal,894312,60.32,Bharatiya Janata Party,National Democratic Alliance,Ashok Kandari,424093,28.6,|470219,|31.72
Magrahat Paschim,Mathurapur,229437,82.02%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Bapi Halder,755731,50.52,Bharatiya Janata Party,National Democratic Alliance,Ashok Purkait,554674,37.08,|201057,|13.44
Diamond Harbour,Diamond Harbour,255132,81.04%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Abhishek Banerjee,1048230,68.48,Bharatiya Janata Party,National Democratic Alliance,Abhijit Das,337300,22.03,|710930,|46.45
Falta,Diamond Harbour,236768,81.04%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Abhishek Banerjee,1048230,68.48,Bharatiya Janata Party,National Democratic Alliance,Abhijit Das,337300,22.03,|710930,|46.45
Satgachhia,Diamond Harbour,270193,81.04%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Abhishek Banerjee,1048230,68.48,Bharatiya Janata Party,National Democratic Alliance,Abhijit Das,337300,22.03,|710930,|46.45
Bishnupur (South 24 Parganas),Diamond Harbour,278850,81.04%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Abhishek Banerjee,1048230,68.48,Bharatiya Janata Party,National Democratic Alliance,Abhijit Das,337300,22.03,|710930,|46.45
Sonarpur Dakshin,Jadavpur,288623,76.68%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Saayoni Ghosh,717899,45.83,Bharatiya Janata Party,National Democratic Alliance,Anirban Ganguly,459698,29.35,|258201,|16.48
Bhangar,Jadavpur,271897,76.68%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Saayoni Ghosh,717899,45.83,Bharatiya Janata Party,National Democratic Alliance,Anirban Ganguly,459698,29.35,|258201,|16.48
Kasba,Kolkata Dakshin,306266,66.95%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mala Roy,615274,49.48,Bharatiya Janata Party,National Democratic Alliance,Debasree Chaudhuri,428043,34.42,|187231,|15.06
Jadavpur,Jadavpur,299818,76.68%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Saayoni Ghosh,717899,45.83,Bharatiya Janata Party,National Democratic Alliance,Anirban Ganguly,459698,29.35,|258201,|16.48
Sonarpur Uttar,Jadavpur,269713,76.68%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Saayoni Ghosh,717899,45.83,Bharatiya Janata Party,National Democratic Alliance,Anirban Ganguly,459698,29.35,|258201,|16.48
Tollyganj,Jadavpur,269713,76.68%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Saayoni Ghosh,717899,45.83,Bharatiya Janata Party,National Democratic Alliance,Anirban Ganguly,459698,29.35,|258201,|16.48
Behala Purba,Kolkata Dakshin,308285,66.95%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mala Roy,615274,49.48,Bharatiya Janata Party,National Democratic Alliance,Debasree Chaudhuri,428043,34.42,|187231,|15.06
Behala Paschim,Kolkata Dakshin,313198,66.95%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mala Roy,615274,49.48,Bharatiya Janata Party,National Democratic Alliance,Debasree Chaudhuri,428043,34.42,|187231,|15.06
Maheshtala,Diamond Harbour,271007,81.04%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Abhishek Banerjee,1048230,68.48,Bharatiya Janata Party,National Democratic Alliance,Abhijit Das,337300,22.03,|710930,|46.45
Budge Budge,Diamond Harbour,256136,81.04%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Abhishek Banerjee,1048230,68.48,Bharatiya Janata Party,National Democratic Alliance,Abhijit Das,337300,22.03,|710930,|46.45
Metiaburuz,Diamond Harbour,256315,81.04%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Abhishek Banerjee,1048230,68.48,Bharatiya Janata Party,National Democratic Alliance,Abhijit Das,337300,22.03,|710930,|46.45
Kolkata Port,Kolkata Dakshin,235933,66.95%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mala Roy,615274,49.48,Bharatiya Janata Party,National Democratic Alliance,Debasree Chaudhuri,428043,34.42,|187231,|15.06
Bhabanipur,Kolkata Dakshin,206389,66.95%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mala Roy,615274,49.48,Bharatiya Janata Party,National Democratic Alliance,Debasree Chaudhuri,428043,34.42,|187231,|15.06
Rashbehari,Kolkata Dakshin,206013,66.95%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mala Roy,615274,49.48,Bharatiya Janata Party,National Democratic Alliance,Debasree Chaudhuri,428043,34.42,|187231,|15.06
Ballygunge,Kolkata Dakshin,247662,66.95%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mala Roy,615274,49.48,Bharatiya Janata Party,National Democratic Alliance,Debasree Chaudhuri,428043,34.42,|187231,|15.06
Chowranghee,Kolkata Uttar,208201,63.59%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sudip Bandyopadhyay,454696,47.44,Bharatiya Janata Party,National Democratic Alliance,Tapas Roy,362136,37.78,|92560,|9.62
Entally,Kolkata Uttar,230814,63.59%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sudip Bandyopadhyay,454696,47.44,Bharatiya Janata Party,National Democratic Alliance,Tapas Roy,362136,37.78,|92560,|9.62
Beleghata,Kolkata Uttar,250881,63.59%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sudip Bandyopadhyay,454696,47.44,Bharatiya Janata Party,National Democratic Alliance,Tapas Roy,362136,37.78,|92560,|9.62
Jorasanko,Kolkata Uttar,197950,63.59%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sudip Bandyopadhyay,454696,47.44,Bharatiya Janata Party,National Democratic Alliance,Tapas Roy,362136,37.78,|92560,|9.62
Shyampukur,Kolkata Uttar,176557,63.59%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sudip Bandyopadhyay,454696,47.44,Bharatiya Janata Party,National Democratic Alliance,Tapas Roy,362136,37.78,|92560,|9.62
Maniktola,Kolkata Uttar,211308,63.59%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sudip Bandyopadhyay,454696,47.44,Bharatiya Janata Party,National Democratic Alliance,Tapas Roy,362136,37.78,|92560,|9.62
Kashipur Belgachhia,Kolkata Uttar,223714,63.59%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sudip Bandyopadhyay,454696,47.44,Bharatiya Janata Party,National Democratic Alliance,Tapas Roy,362136,37.78,|92560,|9.62
Bally,Howrah,176197,71.73%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prasun Banerjee,626493,49.26,Bharatiya Janata Party,National Democratic Alliance,Rathin Chakraborty,457051,35.94,|169442,|13.32
Howrah Uttar,Howrah,218547,71.73%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prasun Banerjee,626493,49.26,Bharatiya Janata Party,National Democratic Alliance,Rathin Chakraborty,457051,35.94,|169442,|13.32
Howrah Madhya,Howrah,266542,71.73%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prasun Banerjee,626493,49.26,Bharatiya Janata Party,National Democratic Alliance,Rathin Chakraborty,457051,35.94,|169442,|13.32
Shibpur,Howrah,233676,71.73%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prasun Banerjee,626493,49.26,Bharatiya Janata Party,National Democratic Alliance,Rathin Chakraborty,457051,35.94,|169442,|13.32
Howrah Dakshin,Howrah,294243,71.73%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prasun Banerjee,626493,49.26,Bharatiya Janata Party,National Democratic Alliance,Rathin Chakraborty,457051,35.94,|169442,|13.32
Sankrail,Howrah,277076,71.73%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prasun Banerjee,626493,49.26,Bharatiya Janata Party,National Democratic Alliance,Rathin Chakraborty,457051,35.94,|169442,|13.32
Panchla,Howrah,266183,71.73%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prasun Banerjee,626493,49.26,Bharatiya Janata Party,National Democratic Alliance,Rathin Chakraborty,457051,35.94,|169442,|13.32
Uluberia Purba,Uluberia,233764,79.78%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sajda Ahmed,724622,52.1,Bharatiya Janata Party,National Democratic Alliance,Arun Uday Pal Chowdhury,505949,36.38,|218673,|15.72
Uluberia Uttar,Uluberia,185834,79.78%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sajda Ahmed,724622,52.1,Bharatiya Janata Party,National Democratic Alliance,Arun Uday Pal Chowdhury,505949,36.38,|218673,|15.72
Uluberia Dakshin,Uluberia,237620,79.78%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sajda Ahmed,724622,52.1,Bharatiya Janata Party,National Democratic Alliance,Arun Uday Pal Chowdhury,505949,36.38,|218673,|15.72
Shyampur,Uluberia,257593,79.78%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sajda Ahmed,724622,52.1,Bharatiya Janata Party,National Democratic Alliance,Arun Uday Pal Chowdhury,505949,36.38,|218673,|15.72
Bagnan,Uluberia,232216,79.78%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sajda Ahmed,724622,52.1,Bharatiya Janata Party,National Democratic Alliance,Arun Uday Pal Chowdhury,505949,36.38,|218673,|15.72
Amta,Uluberia,261181,79.78%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sajda Ahmed,724622,52.1,Bharatiya Janata Party,National Democratic Alliance,Arun Uday Pal Chowdhury,505949,36.38,|218673,|15.72
Udaynarayanpur,Uluberia,235467,79.78%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sajda Ahmed,724622,52.1,Bharatiya Janata Party,National Democratic Alliance,Arun Uday Pal Chowdhury,505949,36.38,|218673,|15.72
Jagatballavpur,Sreerampur,288158,76.44%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kalyan Banerjee,673970,45.65,Bharatiya Janata Party,National Democratic Alliance,Kabir Shankar Bose,499140,33.8,|174830,|11.85
Domjur,Sreerampur,299250,76.44%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kalyan Banerjee,673970,45.65,Bharatiya Janata Party,National Democratic Alliance,Kabir Shankar Bose,499140,33.8,|174830,|11.85
Uttarpara,Sreerampur,259814,76.44%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kalyan Banerjee,673970,45.65,Bharatiya Janata Party,National Democratic Alliance,Kabir Shankar Bose,499140,33.8,|174830,|11.85
Sreerampur,Sreerampur,252758,76.44%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kalyan Banerjee,673970,45.65,Bharatiya Janata Party,National Democratic Alliance,Kabir Shankar Bose,499140,33.8,|174830,|11.85
Champdani,Sreerampur,263372,76.44%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kalyan Banerjee,673970,45.65,Bharatiya Janata Party,National Democratic Alliance,Kabir Shankar Bose,499140,33.8,|174830,|11.85
Singur,Hooghly,246867,81.38%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Rachana Banerjee,702744,46.31,Bharatiya Janata Party,National Democratic Alliance,Locket Chatterjee,625891,41.24,|76853,|5.07
Chandannagar,Hooghly,229572,81.38%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Rachana Banerjee,702744,46.31,Bharatiya Janata Party,National Democratic Alliance,Locket Chatterjee,625891,41.24,|76853,|5.07
Chunchura,Hooghly,314274,81.38%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Rachana Banerjee,702744,46.31,Bharatiya Janata Party,National Democratic Alliance,Locket Chatterjee,625891,41.24,|76853,|5.07
Balagarh,Hooghly,258955,81.38%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Rachana Banerjee,702744,46.31,Bharatiya Janata Party,National Democratic Alliance,Locket Chatterjee,625891,41.24,|76853,|5.07
Pandua,Hooghly,270503,81.38%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Rachana Banerjee,702744,46.31,Bharatiya Janata Party,National Democratic Alliance,Locket Chatterjee,625891,41.24,|76853,|5.07
Saptagram,Hooghly,238840,81.38%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Rachana Banerjee,702744,46.31,Bharatiya Janata Party,National Democratic Alliance,Locket Chatterjee,625891,41.24,|76853,|5.07
Chanditala,Sreerampur,263257,76.44%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kalyan Banerjee,673970,45.65,Bharatiya Janata Party,National Democratic Alliance,Kabir Shankar Bose,499140,33.8,|174830,|11.85
Jangipara,Sreerampur,257025,76.44%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kalyan Banerjee,673970,45.65,Bharatiya Janata Party,National Democratic Alliance,Kabir Shankar Bose,499140,33.8,|174830,|11.85
Haripal,Arambagh,269649,82.62%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mitali Bag,712587,45.71,Bharatiya Janata Party,National Democratic Alliance,Arup Kanti Digar,706188,45.3,|6399,|0.41
Dhanekhali,Hooghly,275518,81.38%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Rachana Banerjee,702744,46.31,Bharatiya Janata Party,National Democratic Alliance,Locket Chatterjee,625891,41.24,|76853,|5.07
Tarakeswar,Arambagh,239820,82.62%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mitali Bag,712587,45.71,Bharatiya Janata Party,National Democratic Alliance,Arup Kanti Digar,706188,45.3,|6399,|0.41
Pursurah,Arambagh,259998,82.62%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mitali Bag,712587,45.71,Bharatiya Janata Party,National Democratic Alliance,Arup Kanti Digar,706188,45.3,|6399,|0.41
Arambag,Arambagh,257621,82.62%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mitali Bag,712587,45.71,Bharatiya Janata Party,National Democratic Alliance,Arup Kanti Digar,706188,45.3,|6399,|0.41
Goghat,Arambagh,246570,82.62%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mitali Bag,712587,45.71,Bharatiya Janata Party,National Democratic Alliance,Arup Kanti Digar,706188,45.3,|6399,|0.41
Khanakul,Arambagh,277259,82.62%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mitali Bag,712587,45.71,Bharatiya Janata Party,National Democratic Alliance,Arup Kanti Digar,706188,45.3,|6399,|0.41
Tamluk,Tamluk,266881,84.79%,Bharatiya Janata Party,National Democratic Alliance,Abhijit Gangopadhyay,765584,48.54,Trinamool Congress,Indian National Developmental Inclusive Alliance,Debangshu Bhattacharya,687851,43.61,|77733,|4.93
Panskura Purba,Tamluk,236306,84.79%,Bharatiya Janata Party,National Democratic Alliance,Abhijit Gangopadhyay,765584,48.54,Trinamool Congress,Indian National Developmental Inclusive Alliance,Debangshu Bhattacharya,687851,43.61,|77733,|4.93
Panskura Paschim,Ghatal,274092,82.17%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Deepak Adhikari,837990,52.36,Bharatiya Janata Party,National Democratic Alliance,Hiran Chatterjee,655122,40.93,|182868,|11.43
Moyna,Tamluk,255164,84.79%,Bharatiya Janata Party,National Democratic Alliance,Abhijit Gangopadhyay,765584,48.54,Trinamool Congress,Indian National Developmental Inclusive Alliance,Debangshu Bhattacharya,687851,43.61,|77733,|4.93
Nandakumar,Tamluk,253829,84.79%,Bharatiya Janata Party,National Democratic Alliance,Abhijit Gangopadhyay,765584,48.54,Trinamool Congress,Indian National Developmental Inclusive Alliance,Debangshu Bhattacharya,687851,43.61,|77733,|4.93
Mahisadal,Tamluk,245266,84.79%,Bharatiya Janata Party,National Democratic Alliance,Abhijit Gangopadhyay,765584,48.54,Trinamool Congress,Indian National Developmental Inclusive Alliance,Debangshu Bhattacharya,687851,43.61,|77733,|4.93
Haldia,Tamluk,251051,84.79%,Bharatiya Janata Party,National Democratic Alliance,Abhijit Gangopadhyay,765584,48.54,Trinamool Congress,Indian National Developmental Inclusive Alliance,Debangshu Bhattacharya,687851,43.61,|77733,|4.93
Nandigram,Tamluk,257992,84.79%,Bharatiya Janata Party,National Democratic Alliance,Abhijit Gangopadhyay,765584,48.54,Trinamool Congress,Indian National Developmental Inclusive Alliance,Debangshu Bhattacharya,687851,43.61,|77733,|4.93
Chandipur,Kanthi,245775,84.77%,Bharatiya Janata Party,National Democratic Alliance,Soumendu Adhikari,763195,49.85,Trinamool Congress,Indian National Developmental Inclusive Alliance,Uttam Barik,715431,46.73,|47764,|3.12
Patashpur,Kanthi,236413,84.77%,Bharatiya Janata Party,National Democratic Alliance,Soumendu Adhikari,763195,49.85,Trinamool Congress,Indian National Developmental Inclusive Alliance,Uttam Barik,715431,46.73,|47764,|3.12
Kanthi Uttar,Kanthi,257427,84.77%,Bharatiya Janata Party,National Democratic Alliance,Soumendu Adhikari,763195,49.85,Trinamool Congress,Indian National Developmental Inclusive Alliance,Uttam Barik,715431,46.73,|47764,|3.12
Bhagabanpur,Kanthi,254184,84.77%,Bharatiya Janata Party,National Democratic Alliance,Soumendu Adhikari,763195,49.85,Trinamool Congress,Indian National Developmental Inclusive Alliance,Uttam Barik,715431,46.73,|47764,|3.12
Khejuri,Kanthi,238630,84.77%,Bharatiya Janata Party,National Democratic Alliance,Soumendu Adhikari,763195,49.85,Trinamool Congress,Indian National Developmental Inclusive Alliance,Uttam Barik,715431,46.73,|47764,|3.12
Kanthi Dakshin,Kanthi,224657,84.77%,Bharatiya Janata Party,National Democratic Alliance,Soumendu Adhikari,763195,49.85,Trinamool Congress,Indian National Developmental Inclusive Alliance,Uttam Barik,715431,46.73,|47764,|3.12
Ramnagar (Purba Medinipur),Kanthi,264900,84.77%,Bharatiya Janata Party,National Democratic Alliance,Soumendu Adhikari,763195,49.85,Trinamool Congress,Indian National Developmental Inclusive Alliance,Uttam Barik,715431,46.73,|47764,|3.12
Egra,Medinipur,284614,81.56%,Trinamool Congress,Indian National Developmental Inclusive Alliance,June Malia,702192,47.4,Bharatiya Janata Party,National Democratic Alliance,Agnimitra Paul,675001,45.56,|27191,|1.84
Dantan,Medinipur,233841,81.56%,Trinamool Congress,Indian National Developmental Inclusive Alliance,June Malia,702192,47.4,Bharatiya Janata Party,National Democratic Alliance,Agnimitra Paul,675001,45.56,|27191,|1.84
Nayagram,Jhargram,226791,83.47%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kalipada Soren,743478,49.87,Bharatiya Janata Party,National Democratic Alliance,Pranat Tudu,569430,38.2,|174048,|11.67
Gopiballavpur,Jhargram,226417,83.47%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kalipada Soren,743478,49.87,Bharatiya Janata Party,National Democratic Alliance,Pranat Tudu,569430,38.2,|174048,|11.67
Jhargram,Jhargram,236035,83.47%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kalipada Soren,743478,49.87,Bharatiya Janata Party,National Democratic Alliance,Pranat Tudu,569430,38.2,|174048,|11.67
Keshiary,Medinipur,238835,81.56%,Trinamool Congress,Indian National Developmental Inclusive Alliance,June Malia,702192,47.4,Bharatiya Janata Party,National Democratic Alliance,Agnimitra Paul,675001,45.56,|27191,|1.84
Kharagpur Sadar,Medinipur,234672,81.56%,Trinamool Congress,Indian National Developmental Inclusive Alliance,June Malia,702192,47.4,Bharatiya Janata Party,National Democratic Alliance,Agnimitra Paul,675001,45.56,|27191,|1.84
Narayangarh,Medinipur,243832,81.56%,Trinamool Congress,Indian National Developmental Inclusive Alliance,June Malia,702192,47.4,Bharatiya Janata Party,National Democratic Alliance,Agnimitra Paul,675001,45.56,|27191,|1.84
Sabang,Ghatal,264783,82.17%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Deepak Adhikari,837990,52.36,Bharatiya Janata Party,National Democratic Alliance,Hiran Chatterjee,655122,40.93,|182868,|11.43
Pingla,Ghatal,255054,82.17%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Deepak Adhikari,837990,52.36,Bharatiya Janata Party,National Democratic Alliance,Hiran Chatterjee,655122,40.93,|182868,|11.43
Kharagpur,Medinipur,227081,81.56%,Trinamool Congress,Indian National Developmental Inclusive Alliance,June Malia,702192,47.4,Bharatiya Janata Party,National Democratic Alliance,Agnimitra Paul,675001,45.56,|27191,|1.84
Debra,Ghatal,234184,82.17%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Deepak Adhikari,837990,52.36,Bharatiya Janata Party,National Democratic Alliance,Hiran Chatterjee,655122,40.93,|182868,|11.43
Daspur,Ghatal,298096,82.17%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Deepak Adhikari,837990,52.36,Bharatiya Janata Party,National Democratic Alliance,Hiran Chatterjee,655122,40.93,|182868,|11.43
Ghatal,Ghatal,279908,82.17%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Deepak Adhikari,837990,52.36,Bharatiya Janata Party,National Democratic Alliance,Hiran Chatterjee,655122,40.93,|182868,|11.43
Chandrakona,Arambagh,279867,82.62%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mitali Bag,712587,45.71,Bharatiya Janata Party,National Democratic Alliance,Arup Kanti Digar,706188,45.3,|6399,|0.41
Garbeta,Jhargram,232046,83.47%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kalipada Soren,743478,49.87,Bharatiya Janata Party,National Democratic Alliance,Pranat Tudu,569430,38.2,|174048,|11.67
Salboni,Jhargram,276940,83.47%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kalipada Soren,743478,49.87,Bharatiya Janata Party,National Democratic Alliance,Pranat Tudu,569430,38.2,|174048,|11.67
Keshpur,Ghatal,261529,82.17%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Deepak Adhikari,837990,52.36,Bharatiya Janata Party,National Democratic Alliance,Hiran Chatterjee,655122,40.93,|182868,|11.43
Medinipur,Medinipur,230061,81.56%,Trinamool Congress,Indian National Developmental Inclusive Alliance,June Malia,702192,47.4,Bharatiya Janata Party,National Democratic Alliance,Agnimitra Paul,675001,45.56,|27191,|1.84
