constituency_no,constituency_name,reservation,turnout,winner_party,winner_alliance,winner_candidate,winner_votes,winner_vote_pct,runnerup_party,runnerup_alliance,runnerup_candidate,runnerup_votes,runnerup_vote_pct,margin_votes,margin_pct
25,Howrah,,71.73%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prasun Banerjee,626493,49.26,Bharatiya Janata Party,National Democratic Alliance,Rathin Chakraborty,457051,35.94,|169442,|13.32
26,Uluberia,,79.78%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sajda Ahmed,724622,52.10,Bharatiya Janata Party,National Democratic Alliance,Arun Uday Pal Chowdhury,505949,36.38,|218673,|15.72
27,Sreerampur,,76.44%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kalyan Banerjee,673970,45.65,Bharatiya Janata Party,National Democratic Alliance,Kabir Shankar Bose,499140,33.80,|174830,|11.85
28,Hooghly,,81.38%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Rachana Banerjee,702744,46.31,Bharatiya Janata Party,National Democratic Alliance,Locket Chatterjee,625891,41.24,|76853,|5.07
29,Arambagh,SC,82.62%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mitali Bag,712587,45.71,Bharatiya Janata Party,National Democratic Alliance,Arup Kanti Digar,706188,45.30,|6399,|0.41
30,Tamluk,,84.79%,Bharatiya Janata Party,National Democratic Alliance,Abhijit Gangopadhyay,765584,48.54,Trinamool Congress,Indian National Developmental Inclusive Alliance,Debangshu Bhattacharya,687851,43.61,|77733,|4.93
31,Kanthi,,84.77%,Bharatiya Janata Party,National Democratic Alliance,Soumendu Adhikari,763195,49.85,Trinamool Congress,Indian National Developmental Inclusive Alliance,Uttam Barik,715431,46.73,|47764,|3.12
32,Ghatal,,82.17%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Deepak Adhikari,837990,52.36,Bharatiya Janata Party,National Democratic Alliance,Hiran Chatterjee,655122,40.93,|182868,|11.43
33,Jhargram,ST,83.47%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kalipada Soren,743478,49.87,Bharatiya Janata Party,National Democratic Alliance,Pranat Tudu,569430,38.20,|174048,|11.67
34,Medinipur,,81.56%,Trinamool Congress,Indian National Developmental Inclusive Alliance,June Malia,702192,47.40,Bharatiya Janata Party,National Democratic Alliance,Agnimitra Paul,675001,45.56,|27191,|1.84
35,Purulia,,78.39%,Bharatiya Janata Party,National Democratic Alliance,Jyotirmay Singh Mahato,578489,40.34,Trinamool Congress,Indian National Developmental Inclusive Alliance,Shantiram Mahato,561410,39.15,|17079,|1.19
36,Bankura,,80.75%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Arup Chakraborty,641813,44.33,Bharatiya Janata Party,National Democratic Alliance,Subhas Sarkar,609035,42.07,|32778,|2.26
37,Bishnupur,SC,85.91%,Bharatiya Janata Party,National Democratic Alliance,Saumitra Khan,680130,44.93,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sujata Mondal,674563,44.56,|5567,|0.37
38,Bardhaman Purba,SC,82.85%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sharmila Sarkar,730302,48.11,Bharatiya Janata Party,National Democratic Alliance,Ashim Kumar Sarkar,559730,37.38,|160572,|10.72
39,Bardhaman–Durgapur,,80.72%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kirti Azad,720667,47.99,Bharatiya Janata Party,National Democratic Alliance,Dilip Ghosh,582686,38.80,|137981,|9.19
40,Asansol,,73.27%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Shatrughan Sinha,605645,46.53,Bharatiya Janata Party,National Democratic Alliance,S. S. Ahluwalia,546081,41.96,|59564,|4.78
41,Bolpur,SC,82.66%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Asit Kumar Mal,855633,55.98,Bharatiya Janata Party,National Democratic Alliance,Piya Saha,528380,34.57,|327253,|21.41
42,Birbhum,,81.91%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Satabdi Roy,717961,47.00,Bharatiya Janata Party,National Democratic Alliance,Debtanu Bhattacharya,520311,34.06,|197650,|12.94
