constituency,AITC+_candidate,AITC+_total_votes,AITC+_vote_share,BJP_candidate,BJP_total_votes,BJP_vote_share,Other_candidate,Other_total_votes,Other_vote_share
Bidhannagar,SUJIT BOSE,60649,34.17,SHARADWAT MUKHERJEE,97979,55.2,SOUMYAJIT RAHA,18081,10.18
Bijpur,SUBODH ADHIKARY,58456,40.35,SUDIPTA DAS,71799,49.56,DEBASISH RAKSHIT,13248,9.15
Binpur,BIRBAHA HANSDA,84261,40.49,DR. PRANAT TUDU,107238,51.54,RABINDRANATH SARDAR,14317,6.89
Bishnupur (South 24 Parganas),DILIP MONDAL,132647,52.93,ABHIJIT SARDAR,95722,38.2,SHYAMAL DAL,21070,8.41
Bishnupur (Bankura),TANMAY GHOSH (BUMBA),80477,38.79,SHUKLA CHATTERJEE,111082,53.54,TITAS GUPTA,15919,7.68
Bolpur,CHANDRANATH SINHA,114915,46.65,DILIP GHOSH,101727,41.3,BAPI SOREN,28761,11.68
Budge Budge,ASHOK KUMAR DEB,127091,58.27,DR TARUN KUMAR ADAK,80241,36.79,MUJIBAR RAHMAN KAYAL,10453,4.79
Burwan,PROTIMA RAJAK,69361,36.72,SUKHEN KUMAR BAGDI,91661,48.52,SANJIT DAS,26366,13.95
Canning Paschim,PARESH RAM DAS,120548,52.26,Prasanta Bayen,79883,34.63,PRABIR MONDAL,29477,12.78
Canning Purba,MD BAHARUL ISLAM,148687,61.53,ASHIM SANPUI,28593,11.83,ARABUL ISLAM,63885,26.44
Chakdaha,SUBHANKAR SINGHA (JISHU),78488,37.25,BANKIM CHANDRA GHOSH,115433,54.78,NARAYAN DAS GUPTA,15822,7.51
Chakulia,AZAD MINHAJUL ARFIN,90277,45.34,MANOJ KUMAR JAIN,62266,31.27,ALI IMRAN RAMZ,45087,22.64
Champdani,ARINDAM GUIN (BUBAI),90678,44.36,DILIP SINGH,93704,45.84,CHANDRANATH BANERJEE,19367,9.48
Chanchal,PRASUN BANERJEE,128014,54.61,RATAN DAS,64140,27.36,ASIF MEHBUB,40275,17.17
Chandannagar,Indranil Sen,72832,38.97,Deepanjan Kumar Guha,86273,46.16,Monish Panda,27179,14.53
Chandipur,UTTAM BARIK,105777,43.72,PIJUSH KANTI DAS,126047,52.09,RITA DAS,10133,4.2
Chanditala,SWATI KHANDOKER,107143,47.1,DEBASISH MUKHERJEE,87480,38.46,ASIF ALI,31571,13.88
Chandrakona,DOLOI SURJYA KANTA,107036,40.44,SUKANTA DOLUI,140517,53.09,SUPARNA DOLAI MALLICK,17137,6.47
Chapra,JEBER SEKH,97085,46.06,SAIKAT SARKAR,66305,31.46,JAKIR  HOSSAIN MONDAL,46733,22.18
Chhatna,SWAPAN KUMAR MONDAL,78798,35.5,SATYANARAYAN MUKHOPADHYAY,125972,56.76,RAJIB LOCHAN KAR,17187,7.73
Chopra,HAMIDUL RAHAMAN,120986,57.3,SANKAR ADHIKARI,51862,24.56,ZAKIR ABEDIN,37714,17.86
Chowranghee,BANDYOPADHYAY NAYNA,62938,57.15,SANTOSH KUMAR PATHAK,40936,37.17,SANJAY BASU,5958,5.41
Chunchura,DEBANGSHU BHATTACHARYA,94269,36.94,SUBIR NAG,137704,53.96,SUNIL KUMAR SAHA,22471,8.81
Cooch Behar Dakshin,AVIJIT DE BHOWMIK,85198,41.48,RATHINDRA BOSE,108482,52.81,NAZMUL ALOM SARKAR,10070,4.9
Cooch Behar Uttar,PARTHA PRATIM RAY,84943,33.42,SUKUMAR RAY,155327,61.11,PRANAY KARJEE,11495,4.52
Dabgram-Phulbari,RANJAN SIL SHARMA,68585,27.23,SIKHA CHATTERJEE,166300,66.02,DILIP SINGH,14109,5.61
Dantan,MANIK MAITI,99883,45.74,AJIT KUMAR JANA,110259,50.49,SHYAMAL KANTI DASPATTANAYEK,8232,3.77
Darjeeling,BIJOY KUMAR RAI,56019,32.23,NOMAN RAI,62076,35.72,AJOY LUCAS EDWARDS,53775,30.93
Daspur,ASHIS HUDAIT,100937,40.05,TAPAN KUMAR DUTTA,133071,52.8,RANAJIT PAL,17641,7.0
Debra,RAJIB BANERJEE,85662,39.42,SUBHASHIS OM,114463,52.67,SUMIT ADHIKARI,17198,7.92
Deganga,ANISUR RAHAMAN BIDESH,101114,43.31,TARUN KANTI GHOSH,41726,17.87,MD MOFIDUL HOQUE SAHAJI MINTU,88789,38.03
Dhanekhali,ASIMA PATRA,123462,49.85,BARNALI DAS,110405,44.57,RUMA AHIRI,12282,4.96
Dhupguri,NIRMAL CHANDRA ROY,96248,38.73,NARESH ROY,134798,54.25,NIRANJAN ROY,13441,5.41
Diamond Harbour,PANNA LAL HALDER,119320,51.38,DIPAK KUMAR HALDER,88054,37.92,SAMAR NAIYA,23615,10.17
Dinhata,UDAYAN GUHA,120808,45.09,AJAY RAY,138255,51.6,BIKAS MANDAL,8062,3.02
Domjur,TAPAS MAITY,134036,52.73,GOBINDA HAZRA,91859,36.14,DULU DAS,26089,10.26
Domkal,HUMAYUN KABIR,91586,35.53,NANDADULAL PAL,13180,5.11,MD. MOSTAFIJUR RAHAMAN,150720,58.46
Dubrajpur,NARESH CHANDRA BAURI,89790,40.78,ANUP KUMAR SAHA,117437,53.33,BIJOY BAGDI,12966,5.89
Dum Dum,BRATYABRATA BASU,73908,37.31,ARIJIT BAKSHI,99181,50.07,MAYUKH BISWAS,24782,12.52
Dum Dum Uttar,CHANDRIMA BHATTACHARYA,76880,34.42,SOURAV SIKDAR,103284,46.24,DIPSITA DHAR,43185,19.34
Durgapur Paschim,KABI DUTTA,77131,35.58,LAKSHMAN CHANDRA GHORUI,114729,52.93,PRAVASH SAIN,22623,10.42
Durgapur Purba,PRADIP MAZUMDAR,77954,36.29,CHANDRA SEKHAR BANERJEE,108888,50.69,SIMANTA CHATTERJEE,27397,12.75
Egra,TARUN KUMAR MAITY,116978,43.43,ADHIKARI DIBYENDU,142670,52.96,SUBRATA PANDA,9725,3.61
English Bazar,ASIS KUNDU (PATA),60312,25.71,AMLAN BHADURI (BURO),154096,65.7,AMBAR MITRA,18409,7.85
Entally,SANDIPAN SAHA,94427,57.16,DR. PRIYANKA TIBREWAL,60421,36.57,ABDUL RAUF,9056,5.48
Falakata,SUBHASH CHANDRA ROY,88371,37.45,DIPAK BARMAN,134370,56.95,KAMAL KISHOR ROY,12618,5.35
Falta,,0,0.0,,0,0.0,,0,0.0
Farakka,AMIRUL ISLAM,47256,27.03,SUNIL CHOWDHURI,54857,31.38,MOTAB SHAIKH,71203,40.73
Gaighata,NAROTTAM BISWAS,73639,35.2,SUBRATA THAKUR,121322,57.99,SAJAL BISWAS,13301,6.35
Galsi,ALOK KUMAR MAJHI,100146,43.1,RAJU PATRA,110640,47.62,MANIMALA DAS,21165,9.11
Gangarampur,Goutam Das,76744,39.8,SATYENDRA NATH ROY,105083,54.5,BIPLAB BARMAN,10709,5.56
Garbeta,UTTARA SINGHA (HAZRA),87527,39.42,PRADIP LODHA,113752,51.23,GHOSH TAPAN KUMAR,20107,9.06
Gazole,PRASENJIT DAS,93349,38.28,CHINMOY DEB BARMAN,131541,53.94,KSHITISH CHANDRA SARKAR,16991,6.96
Ghatal,SHYAMALI SARDAR,93893,38.79,SITAL KAPAT,131550,54.35,SANTI NATH SATICK,15354,6.34
Goalpokhar,MD GHULAM RABBANI,122105,66.66,SARAJIT BISWAS,38315,20.92,MD. GHULAM SARWAR,22308,12.18
Goghat,DR. NIRMAL MAJI,84916,36.24,PRASANTA DIGAR,134498,57.4,MUKTARAM DHAWREY,14907,6.36
Gopiballavpur,AJIT MAHATA,88008,41.24,RAJESH MAHATA,114683,53.75,BIKASH SHARANGI,8826,4.14
Gosaba,SUBRATA MONDAL,92392,43.72,BIKARNA NASKAR,108492,51.34,ADWAITYA JOTDAR,9465,4.48
Habibpur,AMAL KISKU,63874,28.06,JOYEL MURMU,142062,62.41,BASUDEV MURMU,19197,8.42
Habra,JYOTI PRIYA MALLICK,73183,36.82,DEBDAS MONDAL,104645,52.66,RIJINANDAN BISWAS,19433,9.79
Haldia,TAPASI MONDAL,83121,34.71,PRADIP KUMAR BIJALI,132183,55.2,ASOKE KUMAR PATRA,23685,9.9
